,name,price,imgURL
219,"realme 6 (Comet Blue, 128 GB)",16999.0,https://rukminim2.flixcart.com/image/312/312/k7dnonk0/mobile/7/n/f/realme-6-rbs0605in-original-imafpmftxfvhbrm9.jpeg?q=70
220,"realme 3 Pro (Nitro Blue, 64 GB)",13999.0,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/3/e/u/3-pro-64-c-rmx1851-realme-6-original-imaffnumnkjexsuy.jpeg?q=70
221,"realme 2 (Diamond Red, 32 GB)",9990.0,https://rukminim2.flixcart.com/image/312/312/jlcmavk0/mobile/y/z/h/realme-2-rmx805-original-imaf8hxd9uwgg5gu.jpeg?q=70
222,"realme 2 (Diamond Black, 32 GB)",9990.0,https://rukminim2.flixcart.com/image/312/312/jlcmavk0/mobile/y/f/8/realme-2-rmx805-original-imaf8hxyjcncbxpw.jpeg?q=70
223,"realme 6i (Lunar White, 64 GB)",14999.0,https://rukminim2.flixcart.com/image/312/312/kcjexe80/mobile/w/j/9/realme-6i-rmx2002-original-imaftngrxb8bg9jr.jpeg?q=70
224,"realme 6i (Eclipse Black, 64 GB)",14999.0,https://rukminim2.flixcart.com/image/312/312/kcjexe80/mobile/u/k/j/realme-6i-rmx2002-original-imaftnfyhwxdruv2.jpeg?q=70
225,"realme 6i (Eclipse Black, 64 GB)",15999.0,https://rukminim2.flixcart.com/image/312/312/kcjexe80/mobile/u/k/j/realme-6i-rmx2002-original-imaftnfyhwxdruv2.jpeg?q=70
226,"realme 6i (Lunar White, 64 GB)",14999.0,https://rukminim2.flixcart.com/image/312/312/kcjexe80/mobile/w/j/9/realme-6i-rmx2002-original-imaftngrxb8bg9jr.jpeg?q=70
227,"realme 5i (Aqua Blue, 128 GB)",11999.0,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile/r/x/z/realme-5i-rmx2030-original-imafnsx5pakdfdpb.jpeg?q=70
228,"realme 5i (Forest Green, 64 GB)",10999.0,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile/y/a/z/realme-5i-rmx2030-original-imafnsx5bj4yqhas.jpeg?q=70
229,"realme 5i (Aqua Blue, 64 GB)",10999.0,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile/r/x/z/realme-5i-rmx2030-original-imafnsx5pakdfdpb.jpeg?q=70
230,"realme GT 2 Pro (Steel Black, 128 GB)",49999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/3/o/b/-original-imagetmeqj2tndqx.jpeg?q=70
231,"realme GT 2 Pro (Paper White, 256 GB)",57999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/c/c/o/-original-imagetmegwtng3xg.jpeg?q=70
232,"realme GT 2 Pro (Paper Green, 128 GB)",49999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/5/o/q/-original-imagetmenznfey7h.jpeg?q=70
233,"realme 3 (Radiant Blue, 64 GB)",10499.0,https://rukminim2.flixcart.com/image/312/312/jtrjngw0/mobile/s/r/t/realme-3-rmx1825-original-imaferd5zvhurjhg.jpeg?q=70
234,"realme 3 (Dynamic Black, 64 GB)",9499.0,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/2/b/r/3-64-b-rmx1825-realme-3-original-imafeybgpj8swqqa.jpeg?q=70
235,"realme 3 (Radiant Blue, 32 GB)",8499.0,https://rukminim2.flixcart.com/image/312/312/jtrjngw0/mobile/s/r/t/realme-3-rmx1825-original-imaferd5zvhurjhg.jpeg?q=70
236,"realme 3 (Dynamic Black, 32 GB)",8499.0,https://rukminim2.flixcart.com/image/312/312/jtrjngw0/mobile/2/t/v/realme-3-rmx1825-original-imaferd5uzuyxrsv.jpeg?q=70
237,"realme X (Polar White, 128 GB)",20999.0,https://rukminim2.flixcart.com/image/312/312/k51cpe80pkrrdj/mobile/g/v/p/realme-x-rmx1901-original-imafgzg9f847dpps.jpeg?q=70
238,"realme X (Space Blue, 128 GB)",20999.0,https://rukminim2.flixcart.com/image/312/312/k3ncakw0pkrrdj/mobile/a/h/w/realme-x-rmx1901-original-imafgzg9yvran9r3.jpeg?q=70
239,"realme X (Space Blue, 128 GB)",17999.0,https://rukminim2.flixcart.com/image/312/312/k3ncakw0pkrrdj/mobile/a/h/w/realme-x-rmx1901-original-imafgzg9yvran9r3.jpeg?q=70
240,"OPPO Reno10 5G (Ice Blue, 256 GB)",32999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/l/2/-original-imagrn6dfyqhz3gg.jpeg?q=70
241,"realme C30 (Lake Blue, 32 GB)",5999.0,https://rukminim2.flixcart.com/image/312/312/l4ln8nk0/mobile/4/8/h/-original-imagfggrvjdqsrtx.jpeg?q=70
242,"realme C31 (Dark Green, 64 GB)",8749.0,https://rukminim2.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70
243,"realme C31 (Light Silver, 64 GB)",8749.0,https://rukminim2.flixcart.com/image/312/312/l1dwknk0/mobile/f/t/x/-original-imagcyj4unsxhadw.jpeg?q=70
244,"realme C25s (Watery Grey, 64 GB)",8999.0,https://rukminim2.flixcart.com/image/312/312/kplisnk0/mobile/y/9/t/c25s-rmx3197-realme-original-imag3smcaztwgzeg.jpeg?q=70
245,"realme C30 (Bamboo Green, 32 GB)",5999.0,https://rukminim2.flixcart.com/image/312/312/l4ln8nk0/mobile/p/h/p/-original-imagfggryyzyvhgw.jpeg?q=70
246,"realme Narzo 50 (Speed Blue, 64 GB)",10499.0,https://rukminim2.flixcart.com/image/312/312/l0bbonk0/shopsy-mobile/p/k/x/-original-imagc4qj5ejywxnv.jpeg?q=70
247,"realme narzo 50i Prime (Mint Green, 32 GB)",7199.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/p/c/narzo-50i-prime-rmx3506-realme-original-imagnx5zrxpqhhum.jpeg?q=70
248,"realme C25s (Watery Blue, 128 GB)",9261.0,https://rukminim2.flixcart.com/image/312/312/kplisnk0/mobile/8/j/s/c25s-rmx3197-realme-original-imag3smgq7frzezw.jpeg?q=70
249,"realme C21Y (Cross Blue, 64 GB)",8499.0,https://rukminim2.flixcart.com/image/312/312/ksnjp8w0/mobile/k/o/m/c21y-rmx3261-realme-original-imag65kcytrk8dtr.jpeg?q=70
250,"realme C21Y (Cross Black, 64 GB)",8499.0,https://rukminim2.flixcart.com/image/312/312/ksnjp8w0/mobile/h/u/u/c21y-rmx3261-realme-original-imag65kcafgjqknz.jpeg?q=70
251,"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)",28999.0,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/mobile/m/p/2/-original-imagbmf4qsurna5j.jpeg?q=70
252,"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)",26999.0,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/mobile/m/p/2/-original-imagbmf4qsurna5j.jpeg?q=70
253,"realme Narzo 30 (Racing Silver, 64 GB)",10499.0,https://rukminim2.flixcart.com/image/312/312/kq18n0w0/mobile/u/w/b/narzo-30-rmx2156-realme-original-imag45ymfpry9ecq.jpeg?q=70
254,"realme 9 Pro+ 5G (Aurora Green, 128 GB)",24999.0,https://rukminim2.flixcart.com/image/312/312/kzogn0w0/mobile/u/v/p/-original-imagbmf3zehwydcw.jpeg?q=70
255,"realme Narzo 30 (Racing Silver, 64 GB)",11499.0,https://rukminim2.flixcart.com/image/312/312/kq18n0w0/mobile/u/w/b/narzo-30-rmx2156-realme-original-imag45ymfpry9ecq.jpeg?q=70
256,"realme GT 2 (Paper White, 256 GB)",38999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/m/o/3/-original-imagetmeb3y23xhb.jpeg?q=70
257,"realme GT 2 (Paper Green, 256 GB)",38999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/z/k/s/-original-imagetme4yjzzvp6.jpeg?q=70
258,"realme GT 2 (Paper Green, 128 GB)",34999.0,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/z/k/s/-original-imagetme4yjzzvp6.jpeg?q=70
259,"realme C21Y (Cross Black, 32 GB)",7499.0,https://rukminim2.flixcart.com/image/312/312/ksnjp8w0/mobile/h/u/u/c21y-rmx3261-realme-original-imag65kcafgjqknz.jpeg?q=70
260,"realme C33 (Sandy Gold, 64 GB)",9999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/o/s/-original-imaghuf9mryjhf3m.jpeg?q=70
261,"realme C33 (Sandy Gold, 32 GB)",8999.0,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/o/s/-original-imaghuf9mryjhf3m.jpeg?q=70
262,"realme C11 2021 (Cool Blue, 32 GB)",7499.0,https://rukminim2.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
263,"realme C11 2021 (Cool Grey, 32 GB)",7499.0,https://rukminim2.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70
